date,store_id,product_id,product_name,category,stock_on_hand,units_sold,sold_out_flag,price,promotion_flag
2025-01-05,US_Store_NYC,P101,Stanley Quencher,Drinkware,141,108,0,45,1
2025-01-05,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,110,60,0,35,1
2025-01-05,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,109,109,1,30,1
2025-01-12,US_Store_NYC,P101,Stanley Quencher,Drinkware,100,77,0,45,0
2025-01-12,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,123,65,0,35,0
2025-01-12,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,86,64,0,30,0
2025-01-19,US_Store_NYC,P101,Stanley Quencher,Drinkware,141,91,0,45,1
2025-01-19,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,109,72,0,35,1
2025-01-19,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,146,49,0,30,1
2025-01-26,US_Store_NYC,P101,Stanley Quencher,Drinkware,87,49,0,45,0
2025-01-26,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,89,40,0,35,0
2025-01-26,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,91,57,0,30,0
2025-02-02,US_Store_NYC,P101,Stanley Quencher,Drinkware,100,57,0,45,0
2025-02-02,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,147,71,0,35,0
2025-02-02,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,121,50,0,30,0
2025-02-09,US_Store_NYC,P101,Stanley Quencher,Drinkware,103,47,0,45,0
2025-02-09,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,82,42,0,35,0
2025-02-09,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,142,49,0,30,0
2025-02-16,US_Store_NYC,P101,Stanley Quencher,Drinkware,129,68,0,45,0
2025-02-16,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,141,57,0,35,0
2025-02-16,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,114,41,0,30,0
2025-02-23,US_Store_NYC,P101,Stanley Quencher,Drinkware,90,73,0,45,0
2025-02-23,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,104,66,0,35,0
2025-02-23,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,88,48,0,30,0
2025-03-02,US_Store_NYC,P101,Stanley Quencher,Drinkware,89,52,0,45,1
2025-03-02,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,88,66,0,35,1
2025-03-02,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,84,72,0,30,1
2025-03-09,US_Store_NYC,P101,Stanley Quencher,Drinkware,138,47,0,45,0
2025-03-09,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,86,70,0,35,0
2025-03-09,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,109,62,0,30,0
2025-03-16,US_Store_NYC,P101,Stanley Quencher,Drinkware,113,62,0,45,0
2025-03-16,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,137,56,0,35,0
